date,has_ta_19036,has_ta_20326
2017-04-20,0,0
2017-04-21,0,0
2017-04-22,0,0
2017-04-23,0,0
2017-04-24,0,0
2017-04-25,0,0
2017-04-26,0,0
2017-04-27,0,0
2017-04-28,0,0
2017-04-29,0,0
2017-04-30,0,0
2017-05-01,0,0
2017-05-02,0,0
2017-05-03,0,0
2017-05-04,0,0
2017-05-05,0,0
2017-05-06,0,0
2017-05-07,0,0
2017-05-08,0,0
2017-05-09,0,0
2017-05-10,0,0
2017-05-11,0,0
2017-05-12,0,0
2017-05-13,0,0
2017-05-14,0,0
2017-05-15,0,0
2017-05-16,0,0
2017-05-17,0,0
2017-05-18,0,0
2017-05-19,0,0
2017-05-20,0,0
2017-05-21,0,0
2017-05-22,0,0
2017-05-23,0,0
2017-05-24,0,0
2017-05-25,0,0
2017-05-26,0,0
2017-05-27,0,0
2017-05-28,0,0
2017-05-29,0,0
2017-05-30,0,0
2017-05-31,0,0
2017-06-01,0,0
2017-06-02,0,0
2017-06-03,0,0
2017-06-04,0,0
2017-06-05,0,0
2017-06-06,0,0
2017-06-07,0,0
2017-06-08,0,0
2017-06-09,0,0
2017-06-10,0,0
2017-06-11,0,0
2017-06-12,0,0
2017-06-13,0,0
2017-06-14,0,0
2017-06-15,0,0
2017-06-16,0,0
2017-06-17,0,0
2017-06-18,0,0
2017-06-19,0,0
2017-06-20,0,0
2017-06-21,0,0
2017-06-22,0,0
2017-06-23,0,0
2017-06-24,0,0
2017-06-25,0,0
2017-06-26,0,0
2017-06-27,0,0
2017-06-28,0,0
2017-06-29,0,0
2017-06-30,0,0
2017-07-01,0,0
2017-07-02,0,0
2017-07-03,0,0
2017-07-04,0,0
2017-07-05,0,0
2017-07-06,0,0
2017-07-07,0,0
2017-07-08,0,0
2017-07-09,0,0
2017-07-10,0,0
2017-07-11,0,0
2017-07-12,0,0
2017-07-13,0,0
2017-07-14,0,0
2017-07-15,0,0
2017-07-16,0,0
2017-07-17,0,0
2017-07-18,0,0
2017-07-19,0,0
2017-07-20,0,0
2017-07-21,0,0
2017-07-22,0,0
2017-07-23,0,0
2017-07-24,0,0
2017-07-25,0,0
2017-07-26,0,0
2017-07-27,0,0
2017-07-28,0,0
2017-07-29,0,0
2017-07-30,0,0
2017-07-31,0,0
2017-08-01,0,0
2017-08-02,0,0
2017-08-03,0,0
2017-08-04,0,0
2017-08-05,0,0
2017-08-06,0,0
2017-08-07,0,0
2017-08-08,0,0
2017-08-09,0,0
2017-08-10,0,0
2017-08-11,0,0
2017-08-12,0,0
2017-08-13,0,0
2017-08-14,0,0
2017-08-15,0,0
2017-08-16,0,0
2017-08-17,0,0
2017-08-18,0,0
2017-08-19,0,0
2017-08-20,0,0
2017-08-21,0,0
2017-08-22,0,0
2017-08-23,0,0
2017-08-24,0,0
2017-08-25,0,0
2017-08-26,0,0
2017-08-27,0,0
2017-08-28,0,0
2017-08-29,0,0
2017-08-30,0,0
2017-08-31,0,0
2017-09-01,0,0
2017-09-02,0,0
2017-09-03,0,0
2017-09-04,0,0
2017-09-05,0,0
2017-09-06,0,0
2017-09-07,0,0
2017-09-08,0,0
2017-09-09,0,0
2017-09-10,0,0
2017-09-11,0,0
2017-09-12,0,0
2017-09-13,0,0
2017-09-14,0,0
2017-09-15,0,0
2017-09-16,0,0
2017-09-17,0,0
2017-09-18,0,0
2017-09-19,0,0
2017-09-20,0,0
2017-09-21,0,0
2017-09-22,0,0
2017-09-23,0,0
2017-09-24,0,0
2017-09-25,0,0
2017-09-26,0,0
2017-09-27,0,0
2017-09-28,0,0
2017-09-29,0,0
2017-09-30,0,0
2017-10-01,0,0
2017-10-02,0,0
2017-10-03,0,0
2017-10-04,0,0
2017-10-05,0,0
2017-10-06,0,0
2017-10-07,0,0
2017-10-08,0,0
2017-10-09,0,0
2017-10-10,0,0
2017-10-11,0,0
2017-10-12,0,0
2017-10-13,0,0
2017-10-14,0,0
2017-10-15,0,0
2017-10-16,0,0
2017-10-17,0,0
2017-10-18,0,0
2017-10-19,0,0
2017-10-20,0,0
2017-10-21,0,0
2017-10-22,0,0
2017-10-23,0,0
2017-10-24,0,0
2017-10-25,0,0
2017-10-26,0,0
2017-10-27,0,0
2017-10-28,0,0
2017-10-29,0,0
2017-10-30,0,0
2017-10-31,0,0
2017-11-01,0,0
2017-11-02,0,0
2017-11-03,0,0
2017-11-04,0,0
2017-11-05,0,0
2017-11-06,0,0
2017-11-07,0,0
2017-11-08,0,0
2017-11-09,0,0
2017-11-10,0,0
2017-11-11,0,0
2017-11-12,0,0
2017-11-13,0,0
2017-11-14,0,0
2017-11-15,0,0
2017-11-16,0,0
2017-11-17,0,0
2017-11-18,0,0
2017-11-19,0,0
2017-11-20,0,0
2017-11-21,0,0
2017-11-22,0,0
2017-11-23,0,0
2017-11-24,0,0
2017-11-25,0,0
2017-11-26,0,0
2017-11-27,0,0
2017-11-28,0,0
2017-11-29,0,0
2017-11-30,0,0
2017-12-01,0,0
2017-12-02,0,0
2017-12-03,0,0
2017-12-04,0,0
2017-12-05,0,0
2017-12-06,0,0
2017-12-07,0,0
2017-12-08,0,0
2017-12-09,0,0
2017-12-10,0,0
2017-12-11,0,0
2017-12-12,0,0
2017-12-13,0,0
2017-12-14,0,0
2017-12-15,0,0
2017-12-16,0,0
2017-12-17,0,0
2017-12-18,0,0
2017-12-19,0,0
2017-12-20,0,0
2017-12-21,0,0
2017-12-22,0,0
2017-12-23,0,0
2017-12-24,0,0
2017-12-25,0,0
2017-12-26,0,0
2017-12-27,0,0
2017-12-28,0,0
2017-12-29,0,0
2017-12-30,0,0
2017-12-31,0,0
2018-01-01,0,0
2018-01-02,0,0
2018-01-03,0,0
2018-01-04,0,0
2018-01-05,0,0
2018-01-06,0,0
2018-01-07,0,0
2018-01-08,0,0
2018-01-09,0,0
2018-01-10,0,0
2018-01-11,0,0
2018-01-12,0,0
2018-01-13,0,0
2018-01-14,0,0
2018-01-15,0,0
2018-01-16,0,0
2018-01-17,0,0
2018-01-18,0,0
2018-01-19,0,0
2018-01-20,0,0
2018-01-21,0,0
2018-01-22,0,0
2018-01-23,0,0
2018-01-24,0,0
2018-01-25,0,0
2018-01-26,0,0
2018-01-27,0,0
2018-01-28,0,0
2018-01-29,0,0
2018-01-30,0,0
2018-01-31,0,0
2018-02-01,0,0
2018-02-02,0,0
2018-02-03,0,0
2018-02-04,0,0
2018-02-05,0,0
2018-02-06,0,0
2018-02-07,0,0
2018-02-08,0,0
2018-02-09,0,0
2018-02-10,0,0
2018-02-11,0,0
2018-02-12,0,0
2018-02-13,0,0
2018-02-14,0,0
2018-02-15,0,0
2018-02-16,0,0
2018-02-17,0,0
2018-02-18,0,0
2018-02-19,0,0
2018-02-20,0,0
2018-02-21,0,0
2018-02-22,0,0
2018-02-23,0,0
2018-02-24,0,0
2018-02-25,0,0
2018-02-26,0,0
2018-02-27,0,0
2018-02-28,0,0
2018-03-01,0,0
2018-03-02,0,0
2018-03-03,0,0
2018-03-04,0,0
2018-03-05,0,0
2018-03-06,0,0
2018-03-07,0,0
2018-03-08,0,0
2018-03-09,0,0
2018-03-10,0,0
2018-03-11,0,0
2018-03-12,0,0
2018-03-13,0,0
2018-03-14,0,0
2018-03-15,0,0
2018-03-16,0,0
2018-03-17,0,0
2018-03-18,0,0
2018-03-19,0,0
2018-03-20,0,0
2018-03-21,0,0
2018-03-22,0,0
2018-03-23,0,0
2018-03-24,0,0
2018-03-25,0,0
2018-03-26,0,0
2018-03-27,0,0
2018-03-28,0,0
2018-03-29,0,0
2018-03-30,0,0
2018-03-31,0,0
2018-04-01,0,0
2018-04-02,0,0
2018-04-03,0,0
2018-04-04,0,0
2018-04-05,0,0
2018-04-06,0,0
2018-04-07,0,0
2018-04-08,0,0
2018-04-09,0,0
2018-04-10,0,0
2018-04-11,0,0
2018-04-12,0,0
2018-04-13,0,0
2018-04-14,0,0
2018-04-15,0,0
2018-04-16,0,0
2018-04-17,0,0
2018-04-18,0,0
2018-04-19,0,0
2018-04-20,0,0
2018-04-21,0,0
2018-04-22,0,0
2018-04-23,0,0
2018-04-24,0,0
2018-04-25,0,0
2018-04-26,0,0
2018-04-27,0,0
2018-04-28,0,0
2018-04-29,0,0
2018-04-30,0,0
2018-05-01,0,0
2018-05-02,0,0
2018-05-03,0,0
2018-05-04,0,0
2018-05-05,0,0
2018-05-06,0,0
2018-05-07,0,0
2018-05-08,0,0
2018-05-09,0,0
2018-05-10,0,0
2018-05-11,0,0
2018-05-12,0,0
2018-05-13,0,0
2018-05-14,0,0
2018-05-15,0,0
2018-05-16,0,0
2018-05-17,0,0
2018-05-18,0,0
2018-05-19,0,0
2018-05-20,0,0
2018-05-21,0,0
2018-05-22,0,0
2018-05-23,0,0
2018-05-24,0,0
2018-05-25,0,0
2018-05-26,0,0
2018-05-27,0,0
2018-05-28,0,0
2018-05-29,0,0
2018-05-30,0,0
2018-05-31,0,0
2018-06-01,0,0
2018-06-02,0,0
2018-06-03,0,0
2018-06-04,0,0
2018-06-05,0,0
2018-06-06,0,0
2018-06-07,0,0
2018-06-08,0,0
2018-06-09,0,0
2018-06-10,0,0
2018-06-11,0,0
2018-06-12,0,0
2018-06-13,0,0
2018-06-14,0,0
2018-06-15,0,0
2018-06-16,0,0
2018-06-17,0,0
2018-06-18,0,0
2018-06-19,0,0
2018-06-20,0,0
2018-06-21,0,0
2018-06-22,0,0
2018-06-23,0,0
2018-06-24,0,0
2018-06-25,0,0
2018-06-26,0,0
2018-06-27,0,0
2018-06-28,0,0
2018-06-29,0,0
2018-06-30,0,0
2018-07-01,0,0
2018-07-02,0,0
2018-07-03,0,0
2018-07-04,0,0
2018-07-05,0,0
2018-07-06,0,0
2018-07-07,0,0
2018-07-08,0,0
2018-07-09,0,0
2018-07-10,0,0
2018-07-11,0,0
2018-07-12,0,0
2018-07-13,0,0
2018-07-14,0,0
2018-07-15,0,0
2018-07-16,0,0
2018-07-17,0,0
2018-07-18,0,0
2018-07-19,158,152
2018-07-20,158,155
2018-07-21,161,155
2018-07-22,161,159
2018-07-23,165,158
2018-07-24,169,164
2018-07-25,168,166
2018-07-26,175,171
2018-07-27,170,170
2018-07-28,175,175
2018-07-29,169,168
2018-07-30,508,504
2018-07-31,508,504
2018-08-01,515,514
2018-08-02,543,543
2018-08-03,540,540
2018-08-04,549,549
2018-08-05,561,551
2018-08-06,560,552
2018-08-07,558,553
2018-08-08,558,554
2018-08-09,561,558
2018-08-10,557,553
2018-08-11,556,555
2018-08-12,555,555
2018-08-13,567,563
2018-08-14,567,566
2018-08-15,640,635
2018-08-16,663,659
2018-08-17,674,669
2018-08-18,670,662
2018-08-19,663,659
2018-08-20,676,669
2018-08-21,677,673
2018-08-22,680,675
2018-08-23,685,677
2018-08-24,693,684
2018-08-25,684,677
2018-08-26,688,681
2018-08-27,694,690
2018-08-28,695,693
2018-08-29,700,695
2018-08-30,521,401
2018-08-31,697,692
2018-09-01,699,689
2018-09-02,721,710
2018-09-03,735,726
2018-09-04,734,725
2018-09-05,742,731
2018-09-06,752,740
2018-09-07,751,744
2018-09-08,747,739
2018-09-09,745,734
2018-09-10,744,741
2018-09-11,771,762
2018-09-12,776,765
2018-09-13,778,773
2018-09-14,776,772
2018-09-15,778,766
2018-09-16,773,767
2018-09-17,783,779
2018-09-18,796,782
2018-09-19,786,775
2018-09-20,796,784
2018-09-21,787,779
2018-09-22,793,782
2018-09-23,795,783
2018-09-24,800,790
2018-09-25,834,821
2018-09-26,846,830
2018-09-27,853,842
2018-09-28,855,848
2018-09-29,872,857
2018-09-30,861,851
2018-10-01,882,872
2018-10-02,895,884
2018-10-03,887,883
2018-10-04,895,887
2018-10-05,898,891
2018-10-06,889,884
2018-10-07,891,886
2018-10-08,902,894
2018-10-09,910,894
2018-10-10,904,900
2018-10-11,904,897
2018-10-12,905,904
2018-10-13,914,904
2018-10-14,912,903
2018-10-15,904,892
2018-10-16,919,910
2018-10-17,919,911
2018-10-18,941,929
2018-10-19,956,951
2018-10-20,954,943
2018-10-21,949,935
2018-10-22,983,975
2018-10-23,978,970
2018-10-24,988,977
2018-10-25,1006,994
2018-10-26,1004,992
2018-10-27,1008,997
2018-10-28,1011,999
2018-10-29,1026,1017
2018-10-30,1039,1029
2018-10-31,1045,1027
2018-11-01,1050,1033
2018-11-02,1052,1037
2018-11-03,1042,1029
2018-11-04,1045,1041
2018-11-05,1052,1041
2018-11-06,1048,1041
2018-11-07,1043,1031
2018-11-08,1051,1034
2018-11-09,1058,1043
2018-11-10,1039,1034
2018-11-11,1043,1032
2018-11-12,1056,1049
2018-11-13,1062,1054
2018-11-14,1074,1062
2018-11-15,1066,1057
2018-11-16,1068,1059
2018-11-17,1065,1056
2018-11-18,1071,1056
2018-11-19,1080,1067
2018-11-20,1074,1062
2018-11-21,1075,1065
2018-11-22,1082,1065
2018-11-23,1086,1067
2018-11-24,1080,1063
2018-11-25,1086,1071
2018-11-26,1126,1084
2018-11-27,1107,1085
2018-11-28,1181,1133
2018-11-29,1179,1138
2018-11-30,1519,1472
2018-12-01,1160,1109
2018-12-02,1169,1119
2018-12-03,1240,1233
2018-12-04,1251,1229
2018-12-05,1238,1226
2018-12-06,1243,1225
2018-12-07,1236,1219
2018-12-08,1227,1215
2018-12-09,1235,1217
2018-12-10,1241,1228
2018-12-11,1246,1233
2018-12-12,1241,1227
2018-12-13,1236,1224
2018-12-14,1239,1215
2018-12-15,1235,1217
2018-12-16,1245,1227
2018-12-17,1245,1234
2018-12-18,1252,1237
2018-12-19,1240,1266
2018-12-20,1243,1266
2018-12-21,1250,1265
2018-12-22,1247,1248
2018-12-23,1236,1247
2018-12-24,1231,1244
2018-12-25,1225,1239
2018-12-26,1208,1229
2018-12-27,1222,1243
2018-12-28,1223,1234
2018-12-29,1220,1234
2018-12-30,1227,1245
2018-12-31,1230,1245
2019-01-01,1234,1257
2019-01-02,1228,1241
2019-01-03,1230,1245
2019-01-04,1231,1242
2019-01-05,1239,1258
2019-01-06,1244,1259
2019-01-07,1293,1312
2019-01-08,1314,1333
2019-01-09,1302,1314
2019-01-10,1165,1187
2019-01-11,927,1326
2019-01-12,80,1327
2019-01-13,24,1322
2019-01-14,22,1338
2019-01-15,19,1333
2019-01-16,20,1340
2019-01-17,19,1347
2019-01-18,20,1342
2019-01-19,20,1345
2019-01-20,17,1336
2019-01-21,18,1345
2019-01-22,20,1338
2019-01-23,17,1340
2019-01-24,18,1352
2019-01-25,15,1340
2019-01-26,15,1313
2019-01-27,16,1321
2019-01-28,14,1344
2019-01-29,17,1349
2019-01-30,13,1357
2019-01-31,12,1345
2019-02-01,12,1345
2019-02-02,15,1343
2019-02-03,14,1334
2019-02-04,13,1341
2019-02-05,11,1337
2019-02-06,13,1354
2019-02-07,14,1363
2019-02-08,16,1364
2019-02-09,12,1358
2019-02-10,15,1362
2019-02-11,14,1360
2019-02-12,15,1357
2019-02-13,16,1358
2019-02-14,19,1361
2019-02-15,18,1358
2019-02-16,17,1359
2019-02-17,16,1346
2019-02-18,14,1399
2019-02-19,15,1414
2019-02-20,14,1403
2019-02-21,16,1414
2019-02-22,17,1413
2019-02-23,15,1419
2019-02-24,14,1432
2019-02-25,14,1436
2019-02-26,18,1456
2019-02-27,20,1471
2019-02-28,16,1463
2019-03-01,16,1466
2019-03-02,15,1454
2019-03-03,14,1459
2019-03-04,16,1488
2019-03-05,16,1479
2019-03-06,16,1489
2019-03-07,14,1483
2019-03-08,14,1484
2019-03-09,19,1501
2019-03-10,14,1504
2019-03-11,15,1518
2019-03-12,17,1508
2019-03-13,17,1523
2019-03-14,20,1522
2019-03-15,19,1528
2019-03-16,14,1515
2019-03-17,16,1521
2019-03-18,15,1531
2019-03-19,15,1530
2019-03-20,15,1537
2019-03-21,15,1539
2019-03-22,18,1535
2019-03-23,18,1535
2019-03-24,15,1517
2019-03-25,18,1528
2019-03-26,15,1538
2019-03-27,19,1536
2019-03-30,23,1536
2019-03-31,18,1542
2019-04-01,20,1544
2019-04-02,18,1535
2019-04-03,16,1545
2019-04-04,17,1546
2019-04-05,15,1530
2019-04-06,16,1529
2019-04-07,15,1527
