sources,qcount,cumul_source_count
1,7290,7290
2,3053,10343
3,1345,11688
4,720,12408
5,469,12877
6,298,13175
7,352,13527
8,247,13774
9,218,13992
10,152,14144
11,137,14281
12,84,14365
13,97,14462
14,77,14539
15,78,14617
16,59,14676
17,81,14757
18,55,14812
19,45,14857
20,43,14900
21,33,14933
22,42,14975
23,39,15014
24,25,15039
25,36,15075
26,33,15108
27,18,15126
28,18,15144
29,25,15169
30,16,15185
31,27,15212
32,20,15232
33,24,15256
34,17,15273
35,19,15292
36,16,15308
37,14,15322
38,13,15335
39,13,15348
40,20,15368
41,16,15384
42,15,15399
43,9,15408
44,15,15423
45,8,15431
46,14,15445
47,7,15452
48,6,15458
49,14,15472
50,10,15482
51,9,15491
52,12,15503
53,4,15507
54,6,15513
55,14,15527
56,10,15537
57,7,15544
58,16,15560
59,7,15567
60,6,15573
61,13,15586
62,5,15591
63,8,15599
64,10,15609
65,9,15618
66,12,15630
67,7,15637
68,5,15642
69,6,15648
70,12,15660
71,9,15669
72,9,15678
73,6,15684
74,8,15692
75,3,15695
76,9,15704
77,10,15714
78,5,15719
79,4,15723
80,4,15727
81,3,15730
82,4,15734
83,10,15744
84,4,15748
85,8,15756
86,2,15758
87,9,15767
88,2,15769
89,5,15774
90,4,15778
91,10,15788
92,8,15796
93,5,15801
94,5,15806
95,5,15811
96,9,15820
97,5,15825
98,3,15828
99,4,15832
100,2,15834
101,4,15838
102,4,15842
103,3,15845
104,6,15851
105,3,15854
106,4,15858
107,2,15860
108,6,15866
109,2,15868
110,4,15872
111,3,15875
112,1,15876
113,4,15880
114,8,15888
115,6,15894
116,1,15895
117,3,15898
118,6,15904
119,4,15908
120,2,15910
121,3,15913
122,3,15916
123,3,15919
125,4,15923
126,3,15926
127,4,15930
128,5,15935
129,3,15938
130,3,15941
131,4,15945
132,6,15951
133,1,15952
134,1,15953
135,1,15954
136,3,15957
137,2,15959
138,2,15961
139,1,15962
140,2,15964
141,1,15965
143,3,15968
144,2,15970
145,2,15972
146,2,15974
147,3,15977
148,2,15979
149,1,15980
150,4,15984
151,1,15985
152,2,15987
153,5,15992
154,3,15995
155,2,15997
156,4,16001
157,1,16002
158,1,16003
159,1,16004
160,4,16008
161,2,16010
162,1,16011
163,2,16013
165,2,16015
166,3,16018
167,2,16020
168,3,16023
169,2,16025
170,1,16026
171,3,16029
172,1,16030
173,3,16033
174,3,16036
175,1,16037
176,1,16038
178,1,16039
180,3,16042
181,1,16043
182,4,16047
183,3,16050
186,2,16052
187,1,16053
188,2,16055
189,2,16057
192,3,16060
193,1,16061
195,2,16063
196,3,16066
198,2,16068
199,1,16069
200,1,16070
201,2,16072
206,1,16073
208,1,16074
209,2,16076
210,2,16078
211,3,16081
216,3,16084
217,1,16085
219,1,16086
220,1,16087
221,1,16088
222,1,16089
223,2,16091
225,1,16092
226,1,16093
227,1,16094
229,2,16096
230,1,16097
231,2,16099
232,3,16102
233,1,16103
234,2,16105
236,2,16107
238,1,16108
248,2,16110
250,1,16111
251,2,16113
254,2,16115
256,1,16116
257,2,16118
258,1,16119
261,1,16120
262,2,16122
263,1,16123
264,2,16125
268,1,16126
271,1,16127
274,2,16129
276,2,16131
279,1,16132
282,1,16133
283,1,16134
285,2,16136
286,1,16137
287,1,16138
289,1,16139
290,1,16140
291,2,16142
292,1,16143
294,1,16144
295,1,16145
297,1,16146
298,2,16148
301,3,16151
302,1,16152
305,1,16153
306,1,16154
308,1,16155
310,1,16156
311,1,16157
312,1,16158
316,1,16159
319,3,16162
320,1,16163
322,2,16165
323,1,16166
326,1,16167
330,1,16168
334,2,16170
335,1,16171
339,1,16172
344,2,16174
349,1,16175
350,3,16178
351,1,16179
352,1,16180
353,1,16181
354,1,16182
357,1,16183
360,1,16184
361,2,16186
362,1,16187
366,1,16188
367,1,16189
368,1,16190
370,1,16191
376,1,16192
378,2,16194
388,1,16195
391,2,16197
393,1,16198
401,1,16199
403,1,16200
409,1,16201
412,1,16202
418,1,16203
422,1,16204
425,1,16205
429,1,16206
430,1,16207
436,1,16208
444,1,16209
476,1,16210
477,1,16211
481,1,16212
486,1,16213
488,1,16214
493,1,16215
496,1,16216
497,1,16217
498,1,16218
505,1,16219
506,1,16220
532,1,16221
534,1,16222
542,2,16224
567,2,16226
580,1,16227
584,1,16228
587,1,16229
596,1,16230
622,1,16231
623,1,16232
645,1,16233
649,1,16234
655,1,16235
658,1,16236
674,1,16237
684,1,16238
703,1,16239
712,1,16240
716,1,16241
732,1,16242
745,1,16243
746,1,16244
748,1,16245
752,1,16246
769,1,16247
788,1,16248
791,1,16249
822,1,16250
824,2,16252
836,1,16253
838,2,16255
847,1,16256
851,1,16257
860,1,16258
864,1,16259
865,1,16260
883,1,16261
919,1,16262
920,1,16263
922,1,16264
972,1,16265
979,1,16266
997,1,16267
1001,1,16268
1013,1,16269
1056,1,16270
1058,2,16272
1064,1,16273
1071,1,16274
1082,1,16275
1093,1,16276
1234,1,16277
1251,2,16279
1269,1,16280
1288,1,16281
1369,1,16282
1370,1,16283
1410,1,16284
1462,1,16285
1469,1,16286
1527,1,16287
1544,1,16288
1608,1,16289
1633,1,16290
1636,1,16291
1726,1,16292
1749,1,16293
1758,1,16294
1943,1,16295
1999,1,16296
2062,1,16297
2117,1,16298
2184,1,16299
2247,1,16300
2337,1,16301
2662,1,16302
2687,1,16303
2712,1,16304
2726,1,16305
2801,1,16306
2813,1,16307
2930,1,16308
2958,1,16309
3064,1,16310
3183,1,16311
3271,1,16312
3418,1,16313
3431,1,16314
3588,1,16315
3630,1,16316
3758,1,16317
3833,1,16318
4338,1,16319
4394,1,16320
4409,1,16321
4656,1,16322
4774,1,16323
4901,1,16324
5012,1,16325
5281,1,16326
5333,1,16327
5596,1,16328
5700,1,16329
6013,1,16330
6056,1,16331
6137,1,16332
6171,1,16333
6377,1,16334
7292,1,16335
8154,1,16336
8408,1,16337
8508,1,16338
8999,1,16339
9871,1,16340
10070,1,16341
10100,1,16342
11183,1,16343
11682,1,16344
11891,1,16345
12000,1,16346
13729,1,16347
14288,1,16348
14388,1,16349
14534,1,16350
15774,1,16351
17352,1,16352
18144,1,16353
19683,1,16354
19759,1,16355
20350,1,16356
21808,1,16357
21879,1,16358
22012,1,16359
22115,1,16360
22132,1,16361
23746,1,16362
24089,1,16363
29797,1,16364
31146,1,16365
31403,1,16366
32350,1,16367
33913,1,16368
34577,1,16369
35586,1,16370
36801,1,16371
42275,1,16372
42764,1,16373
42878,1,16374
44885,1,16375
46224,1,16376
56191,1,16377
63015,1,16378
64733,1,16379
82013,1,16380
125723,1,16381
133364,1,16382
168263,1,16383
193883,1,16384
231037,1,16385
292120,1,16386
309005,1,16387
368283,1,16388
593280,1,16389
597654,1,16390
758371,1,16391
888105,1,16392
1034591,1,16393
1125665,1,16394
1567766,1,16395
1596658,1,16396
2648903,1,16397
2926735,1,16398
3271066,1,16399
3354322,1,16400
3676586,1,16401
6314570,1,16402
12581837,1,16403
